C1_315080600H_000229,澎湖縣,馬公市,澎湖縣馬公市光復里1鄰新營路25號,119.57251,23.56647
C1_315080600H_000233,澎湖縣,白沙鄉,澎湖縣白沙鄉岐頭村16-5號,119.60928,23.64952
C1_315080600H_000237,澎湖縣,白沙鄉,澎湖縣白沙鄉赤崁村37之4號,119.60354,23.66879
C1_315080600H_000241,澎湖縣,白沙鄉,澎湖縣白沙鄉後寮村104之18號,119.57081,23.67096
C1_315080600H_000245,澎湖縣,白沙鄉,澎湖縣白沙鄉吉貝村182之2號,,
C1_315080600H_000257,澎湖縣,七美鄉,澎湖縣七美鄉南港村26-4號,119.42519,23.196
C1_315080600H_000265,澎湖縣,西嶼鄉,澎湖縣西嶼鄉外垵村1鄰1之15號,119.48994,23.56509
C1_315080600H_000269,澎湖縣,馬公市,澎湖縣馬公市虎井里,119.51441,23.4864
C1_315080600H_000270,澎湖縣,馬公市,澎湖縣馬公市民族路22號,119.56396,23.56519
C1_315080600H_000271,澎湖縣,馬公市,澎湖縣馬公市介壽路7號,119.56074,23.56417
C1_315080600H_000273,澎湖縣,馬公市,澎湖縣馬公市重光里運動公園東側,119.57017,23.58361
C1_315080600H_000274,澎湖縣,馬公市,澎湖縣馬公市重光里西方，鄰澎35鄉道,119.56792,23.58428
C1_315080600H_000275,澎湖縣,,澎湖縣馬公市西衛漁港北側，西衛里社區活動中心旁潮間帶,119.58364,23.58156
C1_315080600H_000276,澎湖縣,馬公市,澎湖縣馬公市案山里海軍第二造船廠南側防坡堤旁,119.57469,23.55667
C1_315080600H_000277,澎湖縣,,澎湖縣馬公市安宅漁港西南側，中營前方之潮間帶上,119.597,23.5765
C1_315080600H_000278,澎湖縣,馬公市,澎湖縣馬公市北極殿東側，鄰近澎25鄉道鎖,119.60264,23.5261
C1_315080600H_000279,澎湖縣,馬公市,澎湖縣馬公市?裡沙灘東邊，西營旁,119.568,23.52603
C1_315080600H_000280,澎湖縣,馬公市,澎湖縣馬公市全里計有9處石敢當，可走入村莊慢慢摸索,119.544,23.54208
C1_315080600H_000281,澎湖縣,西嶼鄉,澎湖縣西嶼鄉小門地質館東側,119.517,23.654
C1_315080600H_000282,澎湖縣,西嶼鄉,澎湖縣西嶼鄉小門地質館南側,119.517,23.65356
C1_315080600H_000283,澎湖縣,西嶼鄉,澎湖縣西嶼鄉小門村落西方山丘上,119.515,23.65328
C1_315080600H_000284,澎湖縣,西嶼鄉,澎湖縣西嶼鄉二崁村,119.52092,23.6026
C1_315080600H_000285,澎湖縣,西嶼鄉,澎湖縣西嶼鄉內垵北港南側,119.499,23.57392
C1_315080600H_000286,澎湖縣,西嶼鄉,澎湖縣西嶼鄉內垵村,119.49929,23.57398
C1_315080600H_000287,澎湖縣,西嶼鄉,澎湖縣西嶼鄉外垵村落西側山崖上,119.477,23.56228
C1_315080600H_000288,澎湖縣,西嶼鄉,澎湖縣西嶼鄉外垵村內計有石敢當83處,119.481,23.56469
C1_315080600H_000289,澎湖縣,白沙鄉,澎湖縣白沙鄉講美龍德宮的北方鄰近講美中營,119.599,23.63375
C1_315080600H_000290,澎湖縣,白沙鄉,澎湖縣白沙鄉北海遊客中心南方赤崁狗頭穴遺址前,119.602,23.66797
C1_315080600H_000293,澎湖縣,白沙鄉,澎湖縣白沙鄉後寮村威靈宮之西側,119.575,23.66744
