C1_315081000H_000040,每日08:30-11:30、14:00-17:00,,,特色館區
C1_315081000H_000041,每日,,,自然之旅
C1_315081000H_000043,每日,,,自然之旅
C1_315081000H_000045,每日,,,自然之旅
C1_315081000H_000046,每日,,,歷史古蹟
C1_315081000H_000047,每日,,,自然之旅
C1_315081000H_000049,每日,,,歷史古蹟
C1_315081000H_000050,每日,,,自然之旅
C1_315081000H_000051,每日,,,自然之旅
C1_315081000H_000053,每日,,,自然之旅
C1_315081000H_000054,每日,,,自然之旅
C1_315081000H_000056,每日,,,自然之旅
C1_315081000H_000058,每日08:00-17:30,,,休閒娛樂
C1_315081000H_000060,每日,,,歷史古蹟
C1_315081000H_000061,每日,,,歷史古蹟
C1_315081000H_000062,,,,自然之旅
C1_315081000H_000064,每日,,,自然之旅
C1_315081000H_000066,每日,,,自然之旅
C1_315081000H_000067,每日,,,自然之旅
C1_315081000H_000068,每日,,,自然之旅
C1_315081000H_000070,每日,,,歷史古蹟
C1_315081000H_000071,每日,,,歷史古蹟
C1_315081000H_000072,每日,,,自然之旅
C1_315081000H_000073,每日08:00-17:30,,,休閒娛樂
C1_315081000H_000074,每日,,,公園綠地
C1_315081000H_000077,每日,,,戶外運動
C1_315081000H_000078,每日,,,特色館區
C1_315081000H_000079,每日,,,公園綠地
C1_315081000H_000080,每日,,,特色館區
C1_315081000H_000081,每日,,,自然之旅
C1_315081000H_000082,每日,,,自然之旅
C1_315081000H_000083,每日,,,自然之旅
C1_315081000H_000084,每日,,,休閒娛樂
C1_315081000H_000086,每日,,,休閒娛樂
C1_315081000H_000087,每日,,,自然之旅
C1_315081100H_000004,每日08:30-11:30、13:30-17:00,,,特色館區
C1_315081100H_000005,每日08:00-12:00、15:00-17:00，週六公休、週日公休,,,觀光工廠
C1_315081100H_000006,每日,,,戶外運動
C1_315081100H_000008,每日,,,自然之旅
C1_315081100H_000009,,,,休閒娛樂
C1_315081100H_000010,每日09:00-17:00,,,休閒娛樂
C1_315081100H_000012,每日06:00-21:00,,,歷史古蹟
C1_315081100H_000013,每日,,,休閒娛樂
C1_315081100H_000016,每日,,,戶外運動
C1_315081100H_000017,,,,休閒娛樂
C1_315081100H_000018,每日,,,教育資源
C1_315081100H_000020,每日,,,歷史古蹟
C1_315081100H_000021,每日,,,戶外運動
C1_315081100H_000022,每日,,,戶外運動
C1_315081100H_000023,每日,,,歷史古蹟
C1_315081100H_000024,,,,觀光工廠
C1_315081100H_000027,每日09:00-16:30,,,歷史古蹟
C1_315081100H_000031,每日,,,戶外運動
C1_315081100H_000032,每日,,,戶外運動
C1_315081100H_000033,每日09:00-12:00、13:30-17:30，週四公休,,,特色館區
C1_315081100H_000034,每日,,,公園綠地
C1_315081100H_000035,每日07:00-21:00,,,歷史古蹟
C1_315081100H_000036,每日08:00-17:00,,,自然之旅
C1_315081100H_000037,,,,休閒娛樂
C1_315081100H_000042,每日09:00-17:00,,,觀光工廠
C1_315081100H_000055,每日,,,戶外運動
C1_315081100H_000068,每日09:00-17:00,,,歷史古蹟
C1_315081100H_000069,每日,,,戶外運動
C1_315081100H_000070,每日07:00-17:30,,,公園綠地
